No,CSO Name,ImageURL,Website,More_info,WADMKK,WADMPR,type,Context,Advocacy,Coastal Waste Management,Education,Institutional Strengthening and Human Resource Capacity Building,Mangrove Ecotourism,Mangrove Rehabilitation or Restoration,Research,Strengthening Regulations,Sustainable Aquaculture
11,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Kota Palu,Sulawesi Tengah,Kota,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
12,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Parigi Moutong,Sulawesi Tengah,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
13,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Kota Palu,Sulawesi Tengah,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
14,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Cilacap,Jawa Tengah,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
15,CIFOR-ICRAF,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cifor_icraf.jpg,https://www.cifor-icraf.org/,https://www.cifor-icraf.org/project/solusi/,Kebumen,Jawa Tengah,Kabupaten,SOLUSI (Solusi Pengelolaan Lanskap Darat dan Laut Terpadu di Indonesia),✓,,✓,✓,,,✓,✓,
16,Coral Triangle Center,https://kiprahagroforestri.id/wp-content/uploads/2025/11/cti.png,https://www.coraltrianglecenter.org/,https://www.coraltrianglecenter.org/adopt-a-mangrove/,Klungkung,Bali,Kabupaten,Nusa Penida Mangrove Adoption Program,,,✓,,,✓,,,
17,Ecoton Foundation,https://kiprahagroforestri.id/wp-content/uploads/2025/11/ecoton.png,https://ecoton.or.id/,https://ecoton.or.id/lindungi-mangrove-dari-jeratan-sampah-plastik-pantai-timur-surabaya-butuh-pagar-laut/,Kota Surabaya,Jawa Timur,Kota,Coastal Action Program East Surabaya,✓,✓,,,,✓,,,
18,Forkani,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Forkani.png,https://forkani.org/,https://forkani.org/harmoni-alam-dan-upaya-rehabilitasi-mangrove-di-desa-sombano-kadie-la-olua/,Wakatobi,Sulawesi Tenggara,Kabupaten,Sombano Kadie La Olua Mangrove Restoration,,,✓,✓,,✓,,,
19,Gemawan,https://kiprahagroforestri.id/wp-content/uploads/2025/11/GEMAWAN.png,https://gemawan.org/?s=mangrove,"https://gemawan.org/borneo-mangrove-action-bakau-kecil-untuk-sabuk-hijau-borneo/; 
https://gemawan.org/mangrove-mempawah-dinamika-luasan-benteng-pesisir-borneo/",Mempawah,Kalimantan Barat,Kabupaten,Borneo Mangrove Action & Mempawah Mangrove Dynamics Research,✓,,,✓,,✓,✓,,
20,Global Green Growth Institute (GGGI),https://kiprahagroforestri.id/wp-content/uploads/2025/11/gggi.png,https://gggi.org/?s=mangrove,https://gggi.org/project/the-ecosystem-based-approach-nature-based-solutions-for-climate-smart-livelihoods-in-mangrove-landscapes-nasclim-indonesia/,Bulungan,Kalimantan Utara,Kabupaten,The Ecosystem-based Approach/Nature Based Solutions for Climate Smart Livelihoods in Mangrove Landscapes (NASCLIM),✓,,✓,✓,,✓,✓,✓,✓
21,Global Green Growth Institute (GGGI),https://kiprahagroforestri.id/wp-content/uploads/2025/11/gggi.png,https://gggi.org/?s=mangrove,https://gggi.org/project/the-ecosystem-based-approach-nature-based-solutions-for-climate-smart-livelihoods-in-mangrove-landscapes-nasclim-indonesia/,Kutai Kartanegara,Kalimantan Timur,Kabupaten,The Ecosystem-based Approach/Nature Based Solutions for Climate Smart Livelihoods in Mangrove Landscapes (NASCLIM),✓,,✓,✓,,✓,✓,✓,✓
22,Green Molucccas (Yayasan Kamboti),https://kiprahagroforestri.id/wp-content/uploads/2025/11/green_moluccas.jpg,https://greenmoluccas.id/,https://greenmoluccas.id/mangroove-adoption/,Kota Ambon,Maluku,Kota,Maluku Mangrove Adoption Program,✓,,,,,✓,,,
23,Japesda,https://kiprahagroforestri.id/wp-content/uploads/2025/11/japesda.jpg,https://japesda.or.id/,https://blog.blueventures.org/en/nurain-lapolo-women-are-on-the-frontlines-of-this-fight-on-climate-breakdown/,Pohuwato,Gorontalo,Kabupaten,Women on Frontlines of Climate Action,✓,,,✓,,✓,,,
24,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/kolaborasi-multipihak-untuk-aksi-rehabilitasi-ekosistem-mangrove-di-provinsi-bengkulu/,Bengkulu,Bengkulu,Kota,Multi-stakeholder Mangrove Rehabilitation Bengkulu,,,,✓,,✓,✓,,
25,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/kolaborasi-multipihak-untuk-aksi-rehabilitasi-ekosistem-mangrove-di-provinsi-bengkulu/,Seluma,Bengkulu,Kabupaten,Multi-stakeholder Mangrove Rehabilitation Bengkulu,,,,✓,,✓,✓,,
26,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/kolaborasi-multipihak-untuk-aksi-rehabilitasi-ekosistem-mangrove-di-provinsi-bengkulu/,Muko Muko,Bengkulu,Kabupaten,Multi-stakeholder Mangrove Rehabilitation Bengkulu,,,,✓,,✓,✓,,
27,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/kolaborasi-multipihak-untuk-aksi-rehabilitasi-ekosistem-mangrove-di-provinsi-bengkulu/,Bengkulu Utara,Bengkulu,Kabupaten,Multi-stakeholder Mangrove Rehabilitation Bengkulu,,,,✓,,✓,✓,,
28,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/kth-bakau-lestari-petik-rupiah-dari-menanam-mangrove/,Tanjung Jabung Barat,Jambi,Kabupaten,KTH Bakau Lestari Economic Program,,,,✓,,✓,,,✓
29,KKI - Warsi,https://kiprahagroforestri.id/wp-content/uploads/2025/11/kki_warsi.png,https://warsi.or.id/,https://warsi.or.id/id/menumbuhkan-hutan-memulihkan-ekologi/,Kota Jambi,Jambi,Kota,"Growing Forests, Restoring Ecology",,,✓,✓,,✓,,,
30,Konservasi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://konservasi-id.org/,https://konservasi-id.org/buku-ekowisata-mangrove-andamata-ulas-peran-masyarakat-adat-fakfak-jaga-ekonomi-biru/,Fak Fak,Papua Barat,Kabupaten,Andamata Mangrove Ecotourism Book,,,✓,✓,✓,,,,
31,Konservasi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://konservasi-id.org/,https://sumut.idntimes.com/news/sumatera-utara/ki-tanam-103-ribu-bibit-demi-pemulihan-ekosistem-mangrove-sawo-lahewa-00-hz1ln-9rtwr2,Nias Utara,Sumatera Utara,Kabupaten,Sawo Lahewa Mangrove Ecosystem Recovery,,,,✓,,✓,,,
32,Konservasi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://konservasi-id.org/,https://konservasi-id.org/pemerintah-provinsi-sumatra-utara-siap-kembangkan-kawasan-konservasi-perairan-bersama-konservasi-indonesia/,Nias Utara,Sumatera Utara,Kabupaten,North Sumatra Marine Conservation Area Development,,,,✓,,✓,,✓,
33,Konservasi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://konservasi-id.org/,https://konservasi-id.org/budi-daya-udang-berkelanjutan-lebih-dari-sekadar-teknologi-pengolahan-limbah/,Banyuwangi,Jawa Timur,Kabupaten,Climate Smart Shrimp Aquaculture (CSSA),,✓,✓,,,,,,✓
34,Konservasi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://konservasi-id.org/,https://konservasi-id.org/panen-perdana-tambak-udang-ramah-iklim-pertama-di-asia-capai-lebih-dari-50-ton/,Donggala,Sulawesi Tengah,Kabupaten,Asia's First Climate-Resilient Shrimp Farm,,,,✓,,✓,✓,,✓
35,Moluccas Coastal Care (MCC),https://kiprahagroforestri.id/wp-content/uploads/2025/11/KI.png,https://moluccascoastalcare.com/,"https://moluccascoastalcare.com/project/; 
https://www.goodnewsfromindonesia.id/2025/09/20/stefani-teria-salhuteru-dan-moluccas-coastal-care-jaga-pesisir-maluku",Kota Ambon,Maluku,Kota,Moluccas Coastal Conservation,✓,✓,✓,✓,,✓,,,
36,Moluccas Coastal Care (MCC),https://kiprahagroforestri.id/wp-content/uploads/2025/11/MCC.png,https://moluccascoastalcare.com/,"https://moluccascoastalcare.com/project/; 
https://www.goodnewsfromindonesia.id/2025/09/20/stefani-teria-salhuteru-dan-moluccas-coastal-care-jaga-pesisir-maluku",Kota Banda Aceh,Aceh,Kabupaten,Moluccas Coastal Conservation,✓,✓,✓,✓,,✓,,,
37,NABU (The Nature And Biodiversity Conservation Union),https://kiprahagroforestri.id/wp-content/uploads/2025/11/NABU.png,https://en.nabu.de/topics/ecosystems/mangrove-conservation-sulawesi/index.html,https://en.nabu.de/topics/ecosystems/mangrove-conservation-sulawesi/index.html,Pohuwato,Gorontalo,Kabupaten,Sulawesi Mangrove Conservation,,,✓,✓,,✓,,,
38,Planet Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Planet_Inonesia.png,https://www.planetindonesia.org/,https://www.planetindonesia.org/news/2023/8/7/how-planet-indonesia-is-protecting-nature-restoring-forests-and-improving-lives,Kubu Raya,Kalimantan Barat,Kabupaten,"Protecting Nature, Restoring Forests, Improving Lives",,,✓,✓,,✓,✓,,✓
39,Planete Urgence,https://kiprahagroforestri.id/wp-content/uploads/2025/11/planeteUrgence.png,https://planete-urgence.org/en/our-national-delegations/indonesia/,https://planete-urgence.org/id/ekosistem-mangrove-dan-konservasi-badak-jawa/,Pandeglang,Banten,Kabupaten,Mangrove Ecosystem and Javan Rhino Conservation,,,✓,✓,,✓,,,
40,Planete Urgence,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg,https://planete-urgence.org/en/our-national-delegations/indonesia/,https://planete-urgence.org/id/reforestasi-hutan-mangrove-dan-pembangunan-lokal/,Paser,Kalimantan Timur,Kabupaten,Mangrove Reforestation and Local Development,,,✓,✓,,✓,,,✓
41,Planete Urgence,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg,https://planete-urgence.org/en/our-national-delegations/indonesia/,https://planete-urgence.org/id/reforestasi-hutan-mangrove-dan-pembangunan-lokal/,Kutai Kartanegara,Kalimantan Timur,Kabupaten,Mangrove Reforestation and Local Development,,,✓,✓,,✓,,,✓
42,Reforest'Action,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,Aceh Timur,Aceh,Kabupaten,Sumatra Local Communities Mangrove Restoration,,,,✓,,✓,,,
43,Reforest'Action,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,Kota Langsa,Aceh,Kota,Sumatra Local Communities Mangrove Restoration,,,,✓,,✓,,,
44,Reforest'Action,https://kiprahagroforestri.id/wp-content/uploads/2025/11/REFOREST.jpg,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,https://www.reforestaction.com/en/magazine/aceh-sumatra-local-communities-restoring-mangrove,Langkat,Sumatera Utara,Kabupaten,Sumatra Local Communities Mangrove Restoration,,,,✓,,✓,,,
45,Rekam Nusantara Foundation,https://kiprahagroforestri.id/wp-content/uploads/2025/11/LOGO_REKAM_NUSANTARA.png,https://rekam.org/en/home,https://www.brin.go.id/news/124416/brin-yayasan-rekam-jejak-alam-nusantara-perkuat-riset-konservasi-dan-rehabilitasi-mangrove,Demak,Jawa Tengah,Kabupaten,BRIN Partnership on Mangrove Conservation,,,,,,✓,✓,✓,
46,Rekam Nusantara Foundation,https://kiprahagroforestri.id/wp-content/uploads/2025/11/LOGO_REKAM_NUSANTARA.png,https://rekam.org/en/home,https://www.brin.go.id/news/124416/brin-yayasan-rekam-jejak-alam-nusantara-perkuat-riset-konservasi-dan-rehabilitasi-mangrove,Cilacap,Jawa Tengah,Kabupaten,BRIN Partnership on Mangrove Conservation,,,,,,✓,✓,✓,
47,Rekam Nusantara Foundation,https://kiprahagroforestri.id/wp-content/uploads/2025/11/LOGO_REKAM_NUSANTARA.png,https://rekam.org/en/home,https://www.brin.go.id/news/124416/brin-yayasan-rekam-jejak-alam-nusantara-perkuat-riset-konservasi-dan-rehabilitasi-mangrove,Jepara,Jawa Tengah,Kabupaten,BRIN Partnership on Mangrove Conservation,,,,,,✓,✓,✓,
48,Seacrest Indonesia (SCI),https://kiprahagroforestri.id/wp-content/uploads/2025/11/Seacrest.png,https://seacrestindonesia.org/,https://kupang.tribunnews.com/2024/12/05/seacrest-indonesia-dorong-pemerintah-desa-di-raijua-berperan-dalam-penjagaan-ekosistem-mangrove,Sabu Raijua,Nusa Tenggara Timur,Kabupaten,Raijua Village Mangrove Ecosystem Protection,,,,✓,,✓,,✓,
49,Sungai Watch,https://kiprahagroforestri.id/wp-content/uploads/2025/11/Sungai_Watch.png,https://sungai.watch/,https://lintasbali.com/international-mangrove-day-pln-ip-ubp-bali-gelar-aksi-bersih-mangrove-bersama-sungai-watch/,Kota Denpasar,Bali,Kota,International Mangrove Day Cleanup Action,,✓,,,,,,,
50,Wahana Visi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/wahanavisi.png,https://wahanavisi.org/id/search/submit_search?find=mangrove,https://wahanavisi.org/id/search/submit_search?find=mangrove,Kota Surabaya,Jawa Timur,Kota,MARVEL - Mangrove Adaptive and Resilient Village,,,✓,✓,,✓,,,
51,Wahana Visi Indonesia,https://kiprahagroforestri.id/wp-content/uploads/2025/11/wahanavisi.png,https://wahanavisi.org/id/search/submit_search?find=mangrove,https://wahanavisi.org/userfiles/post/24112267403BA639AB8_LGID.pdf,Kota Surabaya,Jawa Timur,Kota,MARVEL - Mangrove Adaptive and Resilient Village,,,✓,✓,,✓,,,
52,WALHI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/WALHI.png,https://www.walhi.or.id/,https://walhijogja.or.id/wahana-lingkungan-hidup-indonesia-yogyakarta-bersama-sejumlah-elemen-melakukan-Penanaman-mangrove-di-pantai-baros/,Bantul,Daerah Istimewa Yogyakarta,Kota,Baros Beach Mangrove Planting,,,,✓,,✓,,,
53,WALHI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/WALHI.png,https://www.walhi.or.id/,https://www.rmollampung.id/walhi-dan-mahusa-unila-tambah-1000-pohon-mangrove-di-pesisir-bandar-lampung,Kota Bandar Lampung,Lampung,Kota,Bandar Lampung Coastal Mangrove Program,,,✓,✓,,✓,,,
