No,CSO Name,ImageURL,Website,More_info,WADMKK,WADMPR,type,Context,Advocacy,Coastal Waste Management,Education,Institutional Strengthening and Human Resource Capacity Building,Mangrove Ecotourism,Mangrove Rehabilitation or Restoration,Research,Strengthening Regulations,Sustainable Aquaculture
70,Yayasan EcoNusa,https://kiprahagroforestri.id/wp-content/uploads/2025/11/econusa.jpg,https://econusa.id/en/,https://econusa.id/en/publication/mangrove-expedition-report/,Fak Fak,Papua Barat,Kabupaten,Mangrove Expedition,,,✓,,,,✓,,
71,Yayasan EcoNusa,https://kiprahagroforestri.id/wp-content/uploads/2025/11/econusa.jpg,https://econusa.id/en/,https://econusa.id/en/publication/mangrove-expedition-report/,Teluk Bintuni,Papua Barat,Kabupaten,Mangrove Expedition,,,✓,,,,✓,,
72,Yayasan EcoNusa,https://kiprahagroforestri.id/wp-content/uploads/2025/11/econusa.jpg,https://econusa.id/en/,https://econusa.id/en/publication/mangrove-expedition-report/,Raja Ampat,Papua Barat Daya,Kabupaten,Mangrove Expedition,,,✓,,,,✓,,
73,Yayasan EcoNusa,https://kiprahagroforestri.id/wp-content/uploads/2025/11/econusa.jpg,https://econusa.id/en/,https://econusa.id/en/publication/mangrove-expedition-report/,Sorong Selatan,Papua Barat Daya,Kabupaten,Mangrove Expedition,,,✓,,,,✓,,
74,Yayasan Gambut,https://kiprahagroforestri.id/wp-content/uploads/2025/11/yayasan_gambut.jpg,https://yayasangambut.org/,"https://yayasangambut.org/yayasan-gambut-gec-dan-masyarakat-lokal-bekerjasama-dengan-aramco-untuk-mengatasi-erosi-pantai-di-provinsi-riau-indonesia/;
https://yayasangambut.org/pendekatan-kolaboratif-dalam-pemberdayaan-masyarakat-dan-konservasi-kawasan-pesisir-di-kabupaten-bengkalis/",Bengkalis,Riau,Kabupaten,Riau Coastal Erosion Control Program,,,,✓,,✓,,,
75,Yayasan Geutanyo,https://kiprahagroforestri.id/wp-content/uploads/2025/11/geuntayo.png,https://www.geutanyoe.id/,https://gentalamedia.com/2024/10/30/yayasan-geutanyoe-tanam-25-000-batang-mangrove-di-aceh-timur/,Aceh Timur,Aceh,Kabupaten,East Aceh Mangrove Planting Initiative,,,,✓,,✓,,,
76,Yayasan Jaringan Peduli Masyarakat (JPM),https://kiprahagroforestri.id/wp-content/uploads/2025/11/JPM.png,https://yayasanjpm.com/,https://yayasanjpm.com/program-pemulihan-ekosistem-manggrove-pln-uiw-ntt,Kupang,Nusa Tenggara Timur,Kabupaten,NTT Mangrove Ecosystem Recovery & Entrepreneurship,,,,✓,,✓,,,
77,Yayasan KEHATI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg,https://kehati.or.id/,https://kehati.or.id/kawasan-wisata-lantebung-menjadi-pusat-pembelajaran-rehabilitasi-ekosistem-mangrove/,Kota Makassar,Sulawesi Selatan,Kota,Mangrove Rehabilitation Learning Center at Lantebung Tourism Area,,,✓,✓,✓,✓,✓,,
78,Yayasan KEHATI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg,https://kehati.or.id/,https://mongabay.co.id/2025/08/05/warga-donggala-rehabilitasi-hutan-mangrove-teluk-palu/,Donggala,Sulawesi Tengah,Kabupaten,SOLUSI Program,✓,✓,✓,✓,✓,✓,✓,✓,
79,Yayasan KEHATI,https://kiprahagroforestri.id/wp-content/uploads/2025/11/KEHATI.jpg,https://kehati.or.id/,https://kontekssulawesi.id/2025/07/27/aswini-dimple-buka-aksi-Penanaman-2-000-bibit-mangrove-di-oncone-raya/,Parigi Moutong,Sulawesi Tengah,Kabupaten,SOLUSI Program - Mangrove Rehabilitation at Marina Beach,✓,,✓,✓,✓,✓,✓,,
